date,staff_available,staff_scheduled,shrinkage_pct
2024-07-19,83,85,0.13
2024-07-20,39,44,0.126
2024-07-21,40,49,0.105
2024-07-22,80,92,0.107
2024-07-23,88,90,0.15
2024-07-24,81,87,0.19
2024-07-25,86,85,0.119
2024-07-26,83,92,0.158
2024-07-27,43,46,0.17
2024-07-28,37,42,0.124
2024-07-29,84,94,0.105
2024-07-30,88,93,0.12
2024-07-31,90,91,0.183
2024-08-01,88,90,0.165
2024-08-02,89,92,0.106
2024-08-03,45,41,0.141
2024-08-04,37,46,0.142
2024-08-05,82,89,0.115
2024-08-06,81,89,0.139
2024-08-07,81,85,0.171
2024-08-08,80,94,0.125
2024-08-09,90,93,0.175
2024-08-10,41,40,0.123
2024-08-11,43,49,0.119
2024-08-12,81,94,0.182
2024-08-13,81,92,0.119
2024-08-14,82,91,0.115
2024-08-15,85,91,0.167
2024-08-16,88,86,0.195
2024-08-17,40,43,0.185
2024-08-18,44,42,0.119
2024-08-19,90,94,0.159
2024-08-20,81,94,0.107
2024-08-21,86,94,0.112
2024-08-22,82,87,0.154
2024-08-23,82,86,0.182
2024-08-24,44,42,0.178
2024-08-25,43,45,0.103
2024-08-26,88,86,0.153
2024-08-27,82,87,0.182
2024-08-28,89,91,0.187
2024-08-29,86,86,0.136
2024-08-30,90,91,0.15
2024-08-31,41,43,0.122
2024-09-01,43,43,0.125
2024-09-02,89,87,0.1
2024-09-03,80,90,0.145
2024-09-04,88,88,0.197
2024-09-05,85,89,0.181
2024-09-06,87,90,0.197
2024-09-07,40,49,0.15
2024-09-08,41,48,0.143
2024-09-09,80,85,0.15
2024-09-10,90,86,0.19
2024-09-11,80,90,0.168
2024-09-12,82,87,0.192
2024-09-13,80,89,0.173
2024-09-14,39,43,0.176
2024-09-15,43,41,0.147
2024-09-16,81,88,0.103
2024-09-17,86,89,0.185
2024-09-18,87,94,0.193
2024-09-19,81,87,0.113
2024-09-20,84,94,0.124
2024-09-21,36,45,0.117
2024-09-22,42,44,0.102
2024-09-23,81,91,0.177
2024-09-24,84,93,0.117
2024-09-25,82,86,0.129
2024-09-26,89,89,0.133
2024-09-27,81,89,0.162
2024-09-28,37,42,0.188
2024-09-29,37,47,0.192
2024-09-30,85,90,0.173
2024-10-01,80,87,0.109
2024-10-02,87,90,0.146
2024-10-03,89,87,0.119
2024-10-04,90,90,0.196
2024-10-05,43,49,0.116
2024-10-06,42,45,0.13
2024-10-07,85,93,0.169
2024-10-08,85,94,0.171
2024-10-09,89,91,0.164
2024-10-10,87,93,0.177
2024-10-11,88,91,0.149
2024-10-12,39,47,0.117
2024-10-13,41,44,0.18
2024-10-14,85,89,0.103
2024-10-15,80,85,0.116
2024-10-16,81,92,0.165
2024-10-17,83,93,0.106
2024-10-18,84,85,0.2
2024-10-19,36,47,0.117
2024-10-20,36,44,0.195
2024-10-21,82,89,0.179
2024-10-22,86,86,0.118
2024-10-23,90,89,0.141
2024-10-24,86,92,0.165
2024-10-25,89,93,0.13
2024-10-26,35,46,0.11
2024-10-27,40,49,0.13
2024-10-28,83,91,0.166
2024-10-29,85,86,0.107
2024-10-30,82,86,0.115
2024-10-31,83,88,0.11
2024-11-01,88,94,0.108
2024-11-02,38,41,0.157
2024-11-03,39,46,0.14
2024-11-04,83,90,0.163
2024-11-05,85,90,0.113
2024-11-06,82,85,0.185
2024-11-07,89,91,0.198
2024-11-08,85,92,0.19
2024-11-09,45,42,0.153
2024-11-10,45,47,0.159
2024-11-11,86,88,0.186
2024-11-12,80,92,0.181
2024-11-13,81,85,0.107
2024-11-14,88,93,0.186
2024-11-15,83,90,0.171
2024-11-16,44,45,0.161
2024-11-17,41,40,0.192
2024-11-18,84,92,0.184
2024-11-19,89,92,0.152
2024-11-20,81,92,0.172
2024-11-21,88,93,0.127
2024-11-22,85,92,0.153
2024-11-23,42,42,0.189
2024-11-24,41,40,0.147
2024-11-25,80,85,0.159
2024-11-26,83,94,0.162
2024-11-27,89,87,0.133
2024-11-28,89,90,0.195
2024-11-29,90,85,0.163
2024-11-30,40,49,0.167
2024-12-01,44,44,0.154
2024-12-02,83,85,0.183
2024-12-03,86,86,0.181
2024-12-04,87,86,0.158
2024-12-05,89,92,0.139
2024-12-06,83,89,0.122
2024-12-07,37,42,0.103
2024-12-08,38,46,0.175
2024-12-09,89,94,0.165
2024-12-10,89,91,0.135
2024-12-11,84,85,0.14
2024-12-12,87,87,0.138
2024-12-13,85,94,0.174
2024-12-14,40,47,0.146
2024-12-15,38,43,0.199
2024-12-16,80,94,0.136
2024-12-17,80,90,0.19
2024-12-18,83,89,0.132
2024-12-19,90,90,0.191
2024-12-20,87,85,0.175
2024-12-21,43,46,0.187
2024-12-22,44,49,0.118
2024-12-23,86,93,0.189
2024-12-24,81,94,0.153
2024-12-25,88,87,0.153
2024-12-26,84,91,0.173
2024-12-27,82,92,0.147
2024-12-28,42,41,0.158
2024-12-29,41,40,0.133
2024-12-30,86,88,0.182
2024-12-31,90,85,0.171
